[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	4168	2	3	0	2000	
2	4181	3	3	0	1800	
3	4176	3	3	0	1600	
4	4177	3	3	0	1400	
5	4174	3	3	0	1200	
6	4181	3	4	0	1000	
7	4177	4	4	0	800	
8	4206	5	5	0	600	
9	4175	7	8	0	400	
10	4177	13	14	0	200	
11	9943	3	3	2880	2000	
12	12809	4	3	2880	1800	
13	21456	8	4	2880	1600	
14	9940	3	5	2880	1400	
15	12816	4	5	2880	1200	
16	50255	21	7	2880	1000	
17	21456	8	9	2880	800	
18	50262	21	12	2880	600	
19	21454	8	17	2880	400	
20	47388	19	34	2880	200	
21	56059	12	3	5760	2000	
22	15691	3	3	5760	1800	
23	21450	4	4	5760	1600	
24	15716	3	5	5760	1400	
25	50250	11	6	5760	1200	
26	50252	11	7	5760	1000	
27	21455	4	9	5760	800	
28	50263	11	12	5760	600	
29	50255	11	18	5760	400	
30	171246	37	34	5760	200	
31	21453	3	3	8640	2000	
32	56014	8	3	8640	1800	
33	21455	3	4	8640	1600	
34	21464	3	5	8640	1400	
35	21450	3	6	8640	1200	
36	56015	8	6	8640	1000	
37	107864	16	9	8640	800	
38	56016	8	11	8640	600	
39	99220	14	17	8640	400	
40	5741203	842	35	8640	200	
41	50260	6	4	11520	2000	
42	27217	3	3	11520	1800	
43	27240	3	4	11520	1600	
44	27214	3	4	11520	1400	
45	50252	6	6	11520	1200	
46	50265	6	7	11520	1000	
47	50263	6	9	11520	800	
48	50262	6	12	11520	600	
49	211549	23	17	11520	400	
50	176987	19	34	11520	200	
51	32987	3	3	14400	2000	
52	3878002	344	5	14400	1800	
53	3186638	280	5	14400	1600	
54	32981	3	5	14400	1400	
55	2409053	213	6	14400	1200	
56	61776	5	6	14400	1000	
57	1602642	141	10	14400	800	
58	1199442	106	12	14400	600	
59	796206	70	17	14400	400	
60	392988	35	34	14400	200	
61	56012	4	3	17280	2000	
62	56028	4	3	17280	1800	
63	107878	8	4	17280	1600	
64	56020	4	5	17280	1400	
65	56012	4	5	17280	1200	
66	56010	4	6	17280	1000	
67	107852	8	9	17280	800	
68	228818	17	12	17280	600	
69	107853	8	17	17280	400	
70	5741201	421	35	17280	200	
71	44494	3	4	20160	2000	
72	44507	3	3	20160	1800	
73	64664	4	4	20160	1600	
74	64658	4	5	20160	1400	
75	165463	11	6	20160	1200	
76	64659	4	7	20160	1000	
77	64649	4	9	20160	800	
78	165459	10	11	20160	600	
79	145288	9	17	20160	400	
80	286436	18	34	20160	200	
81	50251	3	4	23040	2000	
82	142418	8	3	23040	1800	
83	50251	3	4	23040	1600	
84	73331	4	5	23040	1400	
85	50256	3	6	23040	1200	
86	50282	3	7	23040	1000	
87	257615	14	8	23040	800	
88	119385	7	12	23040	600	
89	211543	12	17	23040	400	
90	603224	33	35	23040	200	
91	548499	27	4	25920	2000	
92	56009	3	3	25920	1800	
93	56008	3	4	25920	1600	
94	81942	4	4	25920	1400	
95	107862	6	6	25920	1200	
96	496675	25	7	25920	1000	
97	107852	5	10	25920	800	
98	107854	5	11	25920	600	
99	367075	18	17	25920	400	
100	5758485	282	35	25920	200	
