[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	4850	1	1	0	2000	
2	4844	1	1	0	1800	
3	4847	2	3	0	1600	
4	4844	2	3	0	1400	
5	4847	1	2	0	1200	
6	4843	2	4	0	1000	
7	4853	2	6	0	800	
8	4848	3	5	0	600	
9	4853	4	10	0	400	
10	4857	8	20	0	200	
11	10622	2	3	2880	2000	
12	7721	1	2	2880	1800	
13	13503	3	3	2880	1600	
14	10607	2	2	2880	1400	
15	10608	2	3	2880	1200	
16	36554	11	3	2880	1000	
17	22126	6	5	2880	800	
18	25013	7	7	2880	600	
19	22127	6	10	2880	400	
20	36536	11	19	2880	200	
21	39407	6	2	5760	2000	
22	16366	2	2	5760	1800	
23	22124	3	2	5760	1600	
24	16361	2	2	5760	1400	
25	27903	4	2	5760	1200	
26	39436	6	4	5760	1000	
27	22124	3	4	5760	800	
28	27893	4	7	5760	600	
29	33655	5	10	5760	400	
30	131582	22	20	5760	200	
31	13487	1	2	8640	2000	
32	22132	2	2	8640	1800	
33	22126	2	3	8640	1600	
34	22126	2	2	8640	1400	
35	13483	1	3	8640	1200	
36	39408	4	3	8640	1000	
37	56708	6	5	8640	800	
38	30762	3	7	8640	600	
39	65338	7	11	8640	400	
40	3702811	428	20	8640	200	
41	39413	3	3	11520	2000	
42	27896	2	3	11520	1800	
43	27894	2	2	11520	1600	
44	16369	1	3	11520	1400	
45	27905	2	3	11520	1200	
46	39405	3	4	11520	1000	
47	50931	4	5	11520	800	
48	39402	3	7	11520	600	
49	143095	12	10	11520	400	
50	131579	11	19	11520	200	
51	19247	1	2	14400	2000	
52	1444927	100	2	14400	1800	
53	1200072	83	2	14400	1600	
54	19249	1	3	14400	1400	
55	1070478	74	3	14400	1200	
56	48046	3	4	14400	1000	
57	710479	49	5	14400	800	
58	537675	37	7	14400	600	
59	508861	35	11	14400	400	
60	264051	18	19	14400	200	
61	39427	2	2	17280	2000	
62	22126	1	2	17280	1800	
63	108535	6	3	17280	1600	
64	22129	1	3	17280	1400	
65	39404	2	3	17280	1200	
66	39406	2	3	17280	1000	
67	91251	5	5	17280	800	
68	108526	6	7	17280	600	
69	73966	4	10	17280	400	
70	3702810	214	20	17280	200	
71	25001	1	1	20160	2000	
72	25006	1	3	20160	1800	
73	65322	3	2	20160	1600	
74	25007	1	3	20160	1400	
75	85509	4	3	20160	1200	
76	45165	2	4	20160	1000	
77	65324	3	4	20160	800	
78	125807	6	7	20160	600	
79	105646	5	10	20160	400	
80	226621	11	19	20160	200	
81	50925	2	3	23040	2000	
82	50924	2	3	23040	1800	
83	50926	2	3	23040	1600	
84	27883	1	3	23040	1400	
85	27881	1	3	23040	1200	
86	50928	2	4	23040	1000	
87	120044	5	5	23040	800	
88	97047	4	7	23040	600	
89	143087	6	9	23040	400	
90	396534	17	20	23040	200	
91	367747	14	1	25920	2000	
92	56686	2	3	25920	1800	
93	56681	2	2	25920	1600	
94	82606	3	2	25920	1400	
95	56687	2	3	25920	1200	
96	315885	12	3	25920	1000	
97	108531	4	5	25920	800	
98	82606	3	7	25920	600	
99	238126	9	9	25920	400	
100	3711453	143	20	25920	200	
