[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	4943	5	2	0	2000	
2	4926	4	2	0	1800	
3	4909	4	2	0	1600	
4	4915	7	3	0	1400	
5	4909	6	3	0	1200	
6	4917	9	3	0	1000	
7	4914	9	4	0	800	
8	4907	13	7	0	600	
9	4906	18	9	0	400	
10	4926	38	20	0	200	
11	13560	6	1	2880	2000	
12	19306	9	3	2880	1800	
13	33716	20	2	2880	1600	
14	16447	7	3	2880	1400	
15	19306	9	4	2880	1200	
16	91334	56	5	2880	1000	
17	39488	22	5	2880	800	
18	85560	54	8	2880	600	
19	42353	23	11	2880	400	
20	91317	54	21	2880	200	
21	85570	25	2	5760	2000	
22	22194	5	3	5760	1800	
23	33729	10	2	5760	1600	
24	27965	7	2	5760	1400	
25	79798	23	3	5760	1200	
26	91334	28	5	5760	1000	
27	39468	11	5	5760	800	
28	85559	27	8	5760	600	
29	91306	28	12	5760	400	
30	344804	106	22	5760	200	
31	30828	5	1	8640	2000	
32	82673	17	2	8640	1800	
33	39466	8	2	8640	1600	
34	30832	6	2	8640	1400	
35	48109	9	3	8640	1200	
36	91327	19	5	8640	1000	
37	169067	32	7	8640	800	
38	91309	19	7	8640	600	
39	169076	37	11	8640	400	
40	11366641	2399	23	8640	200	
41	85561	13	1	11520	2000	
42	39472	6	2	11520	1800	
43	50989	7	2	11520	1600	
44	39472	6	3	11520	1400	
45	85554	14	3	11520	1200	
46	97072	15	3	11520	1000	
47	97066	15	4	11520	800	
48	108598	16	8	11520	600	
49	419637	65	11	11520	400	
50	362038	54	22	11520	200	
51	33708	4	1	14400	2000	
52	6283647	577	6	14400	1800	
53	5217817	525	6	14400	1600	
54	62514	8	3	14400	1400	
55	3907415	462	6	14400	1200	
56	120107	14	4	14400	1000	
57	2611417	309	8	14400	800	
58	2136234	284	10	14400	600	
59	1401760	186	12	14400	400	
60	825737	101	24	14400	200	
61	91310	9	1	17280	2000	
62	91304	9	2	17280	1800	
63	177726	20	2	17280	1600	
64	91322	9	3	17280	1400	
65	91315	9	4	17280	1200	
66	125865	12	4	17280	1000	
67	177723	17	5	17280	800	
68	402359	45	8	17280	600	
69	194997	20	10	17280	400	
70	11427142	1207	23	17280	200	
71	65384	5	1	20160	2000	
72	65384	5	2	20160	1800	
73	105705	10	2	20160	1600	
74	85548	8	2	20160	1400	
75	287171	27	3	20160	1200	
76	105711	9	4	20160	1000	
77	105708	10	5	20160	800	
78	307313	27	6	20160	600	
79	287167	25	9	20160	400	
80	629916	54	21	20160	200	
81	97064	7	1	23040	2000	
82	212271	17	2	23040	1800	
83	97095	8	2	23040	1600	
84	120110	10	2	23040	1400	
85	120104	9	3	23040	1200	
86	120106	9	3	23040	1000	
87	396611	34	5	23040	800	
88	258351	19	6	23040	600	
89	419639	33	10	23040	400	
90	1318208	100	21	23040	200	
91	886195	63	3	25920	2000	
92	82666	6	2	25920	1800	
93	108590	7	2	25920	1600	
94	134506	10	2	25920	1400	
95	186349	14	3	25920	1200	
96	782523	55	6	25920	1000	
97	212266	15	5	25920	800	
98	212291	15	7	25920	600	
99	704757	49	10	25920	400	
100	11357999	800	23	25920	200	
