[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	6376	6	3	0	2000	
2	6391	7	4	0	1800	
3	6370	7	4	0	1600	
4	6373	9	6	0	1400	
5	6372	9	5	0	1200	
6	6376	10	5	0	1000	
7	6376	13	7	0	800	
8	6375	16	9	0	600	
9	6374	23	13	0	400	
10	6389	45	23	0	200	
11	26534	8	4	2880	2000	
12	38068	13	3	2880	1800	
13	72622	28	3	2880	1600	
14	26531	11	6	2880	1400	
15	40944	15	4	2880	1200	
16	190740	81	6	2880	1000	
17	81271	33	10	2880	800	
18	196482	86	11	2880	600	
19	84152	35	17	2880	400	
20	182069	82	34	2880	200	
21	190714	37	3	5760	2000	
22	46693	10	4	5760	1800	
23	75523	15	3	5760	1600	
24	46698	10	5	5760	1400	
25	202236	42	3	5760	1200	
26	190714	41	5	5760	1000	
27	81271	17	9	5760	800	
28	196478	46	10	5760	600	
29	196458	44	17	5760	400	
30	703455	160	37	5760	200	
31	58221	9	3	8640	2000	
32	187827	25	3	8640	1800	
33	75506	10	3	8640	1600	
34	75494	11	5	8640	1400	
35	84152	11	6	8640	1200	
36	196461	28	5	8640	1000	
37	421099	61	7	8640	800	
38	196449	31	11	8640	600	
39	395199	60	18	8640	400	
40	24354184	3720	37	8640	200	
41	190702	19	2	11520	2000	
42	87015	9	3	11520	1800	
43	87021	11	3	11520	1600	
44	98539	10	3	11520	1400	
45	202218	21	3	11520	1200	
46	190696	21	6	11520	1000	
47	202226	22	7	11520	800	
48	202234	24	11	11520	600	
49	881924	101	16	11520	400	
50	697598	81	35	11520	200	
51	78378	7	3	14400	2000	
52	15026361	1210	6	14400	1800	
53	12189034	1009	7	14400	1600	
54	135982	11	3	14400	1400	
55	10158669	862	8	14400	1200	
56	193580	17	5	14400	1000	
57	6774669	598	9	14400	800	
58	5075464	431	15	14400	600	
59	3318491	304	18	14400	400	
60	1705645	155	33	14400	200	
61	196468	13	2	17280	2000	
62	196452	13	3	17280	1800	
63	403873	28	3	17280	1600	
64	179184	12	4	17280	1400	
65	213738	15	4	17280	1200	
66	196463	14	5	17280	1000	
67	421103	31	8	17280	800	
68	974095	73	12	17280	600	
69	421103	32	18	17280	400	
70	24406037	1865	37	17280	200	
71	127332	8	4	20160	2000	
72	147497	10	4	20160	1800	
73	248299	15	3	20160	1600	
74	228139	13	5	20160	1400	
75	651518	40	3	20160	1200	
76	228154	15	7	20160	1000	
77	268485	17	9	20160	800	
78	611192	39	11	20160	600	
79	591014	38	18	20160	400	
80	1195862	81	36	20160	200	
81	190699	10	3	23040	2000	
82	490238	25	3	23040	1800	
83	190692	10	3	23040	1600	
84	282872	15	5	23040	1400	
85	213736	11	5	23040	1200	
86	213754	12	7	23040	1000	
87	1020169	56	10	23040	800	
88	490239	29	12	23040	600	
89	928002	53	16	23040	400	
90	2609973	149	35	23040	200	
91	2183689	96	2	25920	2000	
92	187824	9	3	25920	1800	
93	187814	11	3	25920	1600	
94	343340	16	3	25920	1400	
95	447040	21	3	25920	1200	
96	1924475	94	5	25920	1000	
97	421111	21	7	25920	800	
98	421104	22	10	25920	600	
99	1483825	76	17	25920	400	
100	24397391	1243	36	25920	200	
