[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	4824	3	1	0	2000	
2	4832	4	1	0	1800	
3	4832	4	2	0	1600	
4	4832	5	3	0	1400	
5	4828	6	3	0	1200	
6	4841	6	3	0	1000	
7	4825	8	4	0	800	
8	4855	11	5	0	600	
9	4831	16	9	0	400	
10	4837	33	18	0	200	
11	16366	6	1	2880	2000	
12	22114	9	1	2880	1800	
13	33638	16	2	2880	1600	
14	13508	5	2	2880	1400	
15	22107	10	3	2880	1200	
16	73960	44	2	2880	1000	
17	33650	19	4	2880	800	
18	79716	49	5	2880	600	
19	36522	19	9	2880	400	
20	79718	47	17	2880	200	
21	79710	19	1	5760	2000	
22	22108	5	2	5760	1800	
23	33642	8	2	5760	1600	
24	27897	6	3	5760	1400	
25	73947	21	3	5760	1200	
26	73961	22	2	5760	1000	
27	33640	10	4	5760	800	
28	79719	25	5	5760	600	
29	85468	26	8	5760	400	
30	298641	93	16	5760	200	
31	30745	5	2	8640	2000	
32	99867	16	0	8640	1800	
33	39401	6	3	8640	1600	
34	39394	6	3	8640	1400	
35	39402	7	3	8640	1200	
36	73953	15	2	8640	1000	
37	160357	34	4	8640	800	
38	82593	17	5	8640	600	
39	168998	34	9	8640	400	
40	10243350	2223	19	8640	200	
41	97014	11	1	11520	2000	
42	39386	5	2	11520	1800	
43	39388	5	2	11520	1600	
44	39384	5	2	11520	1400	
45	73951	11	3	11520	1200	
46	97013	13	4	11520	1000	
47	85482	13	4	11520	800	
48	85487	13	5	11520	600	
49	373477	60	8	11520	400	
50	292839	47	18	11520	200	
51	33629	3	1	14400	2000	
52	5837134	627	3	14400	1800	
53	4857729	545	3	14400	1600	
54	48025	5	3	14400	1400	
55	3648129	444	4	14400	1200	
56	76835	9	2	14400	1000	
57	2539354	327	5	14400	800	
58	2020941	262	6	14400	600	
59	1401685	171	9	14400	400	
60	710457	89	16	14400	200	
61	108512	8	0	17280	2000	
62	108508	9	1	17280	1800	
63	160351	15	2	17280	1600	
64	91226	8	3	17280	1400	
65	73950	8	2	17280	1200	
66	73946	8	3	17280	1000	
67	160346	17	4	17280	800	
68	385000	41	5	17280	600	
69	177629	19	9	17280	400	
70	10251994	1078	19	17280	200	
71	65305	4	1	20160	2000	
72	65319	5	2	20160	1800	
73	105671	8	2	20160	1600	
74	105647	8	2	20160	1400	
75	246768	21	2	20160	1200	
76	105634	8	3	20160	1000	
77	125802	10	3	20160	800	
78	246748	23	4	20160	600	
79	246796	22	9	20160	400	
80	508838	47	17	20160	200	
81	96998	6	1	23040	2000	
82	189156	13	1	23040	1800	
83	96996	6	2	23040	1600	
84	97004	7	2	23040	1400	
85	97018	7	2	23040	1200	
86	97010	7	4	23040	1000	
87	396523	31	4	23040	800	
88	212206	17	6	23040	600	
89	373494	29	8	23040	400	
90	1087760	86	16	23040	200	
91	834303	48	1	25920	2000	
92	82602	5	2	25920	1800	
93	82592	5	2	25920	1600	
94	160348	9	3	25920	1400	
95	160370	11	2	25920	1200	
96	730600	51	3	25920	1000	
97	160346	12	4	25920	800	
98	186265	13	6	25920	600	
99	626916	43	8	25920	400	
100	10243348	741	18	25920	200	
