[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	1139	1	1	0	2000	
2	1139	1	1	0	1800	
3	1133	1	1	0	1600	
4	1133	1	1	0	1400	
5	1133	1	1	0	1200	
6	1142	1	1	0	1000	
7	1138	1	1	0	800	
8	1133	1	1	0	600	
9	1151	1	1	0	400	
10	1136	2	2	0	200	
11	4051	1	0	2880	2000	
12	4013	1	0	2880	1800	
13	4016	1	0	2880	1600	
14	4015	1	1	2880	1400	
15	4015	1	1	2880	1200	
16	6898	2	1	2880	1000	
17	4025	1	1	2880	800	
18	6897	2	1	2880	600	
19	4015	1	2	2880	400	
20	6908	2	5	2880	200	
21	6905	1	1	5760	2000	
22	6893	1	1	5760	1800	
23	6893	1	0	5760	1600	
24	6895	1	1	5760	1400	
25	6893	1	0	5760	1200	
26	6893	1	1	5760	1000	
27	6895	1	1	5760	800	
28	6896	1	1	5760	600	
29	6928	1	3	5760	400	
30	24200	4	5	5760	200	
31	9775	1	1	8640	2000	
32	9775	1	0	8640	1800	
33	9775	1	1	8640	1600	
34	9783	1	1	8640	1400	
35	9782	1	1	8640	1200	
36	9782	1	1	8640	1000	
37	18418	2	1	8640	800	
38	9778	1	1	8640	600	
39	18420	2	2	8640	400	
40	666430	77	6	8640	200	
41	12658	1	0	11520	2000	
42	12682	1	1	11520	1800	
43	12660	1	1	11520	1600	
44	12655	1	1	11520	1400	
45	12658	1	1	11520	1200	
46	12673	1	1	11520	1000	
47	12698	1	1	11520	800	
48	12658	1	2	11520	600	
49	24178	2	3	11520	400	
50	24188	2	5	11520	200	
51	15571	1	1	14400	2000	
52	490790	34	1	14400	1800	
53	361141	25	1	14400	1600	
54	15536	1	1	14400	1400	
55	289154	20	1	14400	1200	
56	15535	1	1	14400	1000	
57	188352	13	2	14400	800	
58	145158	10	2	14400	600	
59	101941	7	2	14400	400	
60	58738	4	5	14400	200	
61	18416	1	0	17280	2000	
62	18419	1	0	17280	1800	
63	18413	1	0	17280	1600	
64	18415	1	1	17280	1400	
65	18413	1	1	17280	1200	
66	18415	1	1	17280	1000	
67	18431	1	1	17280	800	
68	35698	2	1	17280	600	
69	18425	1	2	17280	400	
70	709646	41	6	17280	200	
71	21299	1	1	20160	2000	
72	21298	1	1	20160	1800	
73	21303	1	0	20160	1600	
74	21295	1	1	20160	1400	
75	21305	1	0	20160	1200	
76	21305	1	1	20160	1000	
77	21300	1	1	20160	800	
78	21302	1	1	20160	600	
79	21302	1	2	20160	400	
80	41460	2	5	20160	200	
81	24183	1	0	23040	2000	
82	24182	1	0	23040	1800	
83	24189	1	1	23040	1600	
84	24183	1	1	23040	1400	
85	24188	1	1	23040	1200	
86	24178	1	1	23040	1000	
87	47215	2	1	23040	800	
88	24182	1	2	23040	600	
89	47221	2	3	23040	400	
90	70256	3	6	23040	200	
91	78895	3	0	25920	2000	
92	27065	1	1	25920	1800	
93	27088	1	1	25920	1600	
94	27055	1	1	25920	1400	
95	27059	1	1	25920	1200	
96	78895	3	1	25920	1000	
97	27056	1	1	25920	800	
98	27056	1	2	25920	600	
99	52982	2	2	25920	400	
100	700996	27	6	25920	200	
